Name	Released	Codes	Deprecated
iPhone	1.0	iPhone1,1	3.2
iPhone 3G	2.0	iPhone1,2	4.3
iPhone 3GS	3.0	iPhone2,1	7.0
iPhone 4	4.0	iPhone3,1;iPhone3,2;iPhone3,3	8.0
iPhone 4S	5.0	iPhone4,1	10.0
iPhone 5	6.0	iPhone5,1;iPhone5,2	11.0
iPhone 5c	7.0	iPhone5,3;iPhone5,4	11.0
iPhone 5s	7.0	iPhone6,1;iPhone6,2	13.0
iPhone 6	8.0	iPhone7,2	13.0
iPhone 6 Plus	8.0	iPhone7,1	13.0
iPhone 6s	9.0	iPhone8,1	
iPhone 6s Plus	9.0	iPhone8,2	
iPhone SE	9.3	iPhone8,4	
iPhone 7	10.0	iPhone9,1;iPhone9,3	
iPhone 7 Plus	10.0	iPhone9,2;iPhone9,4	
iPhone 8	11.0	iPhone10,1;iPhone10,4	
iPhone 8 Plus	11.0	iPhone10,2;iPhone10,5	
iPhone X	11.0	iPhone10,3;iPhone10,6	
iPhone XS	12.0	iPhone11,2	
iPhone XS Max	12.0	iPhone11,4;iPhone11,6	
iPhone XR	12.0	iPhone11,8	
iPhone 11	13.0	iPhone12,1	
iPhone 11 Pro	13.0	iPhone12,3	
iPhone 11 Pro Max	13.0	iPhone12,5	
iPhone SE (2nd Generation)	13.4	iPhone12,8
